File_ID,English_name,Vocalization_type,Quality,Hour,AM_PM,Year,Month,Day,X,Y
247089,BEN,song,C,0,am,2004,4,22,64,93
216565,BEN,song,D,0,am,2006,1,10,84,83
87864,BEN,song,B,5,am,2011,9,30,95,146
112603,BEN,song,A,5,am,2012,10,23,69,148
187721,BEN,song,B,6,am,2013,6,20,39,73
73461,BEN,song,B,6,am,2006,8,14,66,77
198529,BEN,song,B,6,am,2014,10,2,62,96
76077,BEN,song,A,6,am,2011,4,8,29,82
81439,BEN,song,A,6,am,2011,6,12,64,160
123208,BEN,song,A,6,am,2011,7,10,35,153
94832,BEN,song,D,6,am,2011,1,26,66,179
63315,BEN,song,B,6,am,2002,11,1,46,138
14774,BEN,call,C,6,am,2007,7,30,70,153
303601,BEN,song,B,7,am,2016,2,2,61,90
116198,BEN,song,C,7,am,2012,1,9,48,91
214770,BEN,song,A,7,am,2015,2,20,55,84
2889,BEN,song,A,7,am,1997,6,9,73,143
188528,BEN,song,C,7,am,2014,7,20,62,97
35360,BEN,song,A,7,am,2009,6,5,49,55
35359,BEN,song,B,7,am,2009,6,5,54,80
13505,BEN,song,B,7,am,2007,5,12,57,168
106265,BEN,song,B,7,am,2012,6,28,64,83
20422,BEN,call,A,8,am,2007,8,29,57,150
28249,BEN,song,B,8,am,2008,7,26,69,115
103181,BEN,song,B,8,am,2003,4,10,95,148
84084,BEN,song,B,8,am,2010,11,18,35,89
54823,BEN,song,B,8,am,2010,5,30,32,149
221677,BEN,song,A,8,am,2009,7,29,78,144
69888,BEN,song,A,8,am,2011,1,12,48,72
275905,BEN,song,B,8,am,1997,3,16,74,131
202124,BEN,song,B,8,am,2008,11,25,38,69
171003,BEN,song,B,8,am,2014,3,21,46,135
118831,BEN,song,B,8,am,2011,10,22,60,81
39720,BEN,song,B,8,am,2009,7,29,64,98
103178,BEN,song,A,8,am,2003,11,26,68,176
340433,BEN,song,A,8,am,2003,11,27,64,161
42738,BEN,song,A,9,am,2008,3,20,64,101
221678,BEN,song,B,9,am,1995,6,29,76,169
212941,BEN,song,B,9,am,2015,1,29,46,176
86,BEN,song,B,9,am,2003,9,27,38,107
77030,BEN,song,A,9,am,2011,1,7,64,156
270664,BEN,song,B,9,am,2010,7,28,67,80
401388,BEN,song,C,9,am,2017,11,23,84,155
37041,BEN,song,B,9,am,2009,7,7,78,153
147433,BEN,song,B,10,am,2013,9,4,131,166
103177,BEN,song,A,11,am,1999,9,16,65,84
38495,BEN,song,A,13,pm,2009,8,23,50,171
42724,BEN,bill-snapping,C,14,pm,2008,4,18,48,84
254122,BLU,call,B,0,am,2003,3,14,84,140
112599,BLU,song,D,6,am,2012,10,23,45,68?
239019,BLU,call,A,6,am,1990,12,11,68,151
61917,BLU,call,C,6,am,2010,8,24,120,113
239023,BLU,call,A,6,am,1996,2,22,147,153
239021,BLU,call,B,6,am,1991,12,19,92,121
239020,BLU,call,B,6,am,1991,9,4,45,64
239022,BLU,call,A,6,am,1991,12,19,44,66
325753,BLU,call,no score,7,am,2011,8,31,24,139
239018,BLU,call,A,7,am,1992,11,15,49,61
341352,BLU,song,A,8,am,2016,2,22,152,34
122690,BLU,call,B,8,am,2013,1,28,45,65
326954,BLU,call,C,8,am,2016,4,25,45,65
230061,BLU,call,C,9,am,2008,1,5,143,111
347893,BLU,"""call, song""",A,9,am,2013,12,21,44,63
158745,BLU,call,C,9,am,2013,12,16,45,67
95988,BLU,song,B,9,am,2012,2,13,50,56
95987,BLU,song,C,9,am,2012,2,13,44,64
166768,BLU,call,B,10,am,2014,1,22,46,65
3371,BLU,call,A,10,am,1996,6,6,32,138
339830,BLU,call,D,10,am,2003,10,8,31,136
230058,BLU,call,B,10,am,2003,4,16,47,63
230054,BLU,call,A,11,am,2003,4,16,32,135
146158,BLU,song,B,11,am,2013,2,21,47,66
131815,BLU,call,C,11,am,2007,12,17,85,105
113765,BLU,song,C,11,am,2011,9,16,125,116
15843,BLU,call,C,11,am,2007,8,15,49,57
326977,BLU,call,D,11,am,2016,5,27,95,141
251567,BLU,call,C,12,pm,2007,3,11,50,60
251569,BLU,call,B,12,pm,2004,11,27,49,61
251570,BLU,call,B,12,pm,2004,11,27,129,120
24011,BLU,song,B,13,pm,2008,10,18,50,59
251568,BLU,call,B,13,pm,2004,11,10,80,132
12273,BLU,call,C,13,pm,2003,4,8,23,138
251566,BLU,call,C,14,pm,2005,9,12,53,61
211636,BLU,call,B,14,pm,2014,12,16,50,63
74191,BLU,song,B,15,pm,2006,10,3,82,138
85427,BLU,call,B,15,pm,2002,10,30,47,65
347750,BLU,call,no score,16,pm,2016,8,21,46,62
167890,BLU,"""call, song""",A,16,pm,2014,1,22,137,36
273667,BLU,call,B,16,pm,2010,1,2,45,65
230057,BLU,call,B,16,pm,1997,4,19,139,45
230055,BLU,call,B,16,pm,2006,2,14,45,66
8370,BLU,call,C,16,pm,2006,9,26,48,63
162080,BLU,call,C,16,pm,2013,12,10,47,62
176506,BLU,call,no score,16,pm,2010,9,26,46,62
181434,BLU,song,B,16,pm,2013,11,16,46,70
374413,BLU,call,A,16,pm,2017,2,3,60,71
116387,BLU,call,A,16,pm,2012,10,4,150,144
116386,BLU,call,B,16,pm,2012,10,4,46,64
230060,BLU,call,B,17,pm,2000,6,5,45,65
230059,BLU,call,B,17,pm,2000,6,5,56,58
274462,BLU,call,A,17,pm,2010,3,15,60,76
183581,BLU,call,A,18,pm,2014,5,24,31,136
230056,BLU,call,B,18,pm,2000,7,28,67,156
74792,BLU,call,B,18,pm,1997,8,1,46,35
189831,BLU,call,A,18,pm,2014,7,31,84,138
317206,BOM,call,A,2,am,2016,5,14,71,143
318258,BOM,call,C,3,am,2016,5,17,73,140
206157,BOM,song,A,5,am,2014,6,13,66,154
153344,BOM,song,B,5,am,2013,6,10,71,156
185521,BOM,song,A,5,am,2014,6,6,66,135
185518,BOM,song,A,5,am,2014,6,6,70,140
160622,BOM,song,B,5,am,2013,5,28,56,130
13792,BOM,song,A,5,am,2007,6,9,84,179
177472,BOM,song,A,6,am,2014,5,6,67,154
177471,BOM,song,A,6,am,2014,5,6,73,144
206183,BOM,song,B,6,am,2014,6,13,58,131
278928,BOM,call,B,6,am,2015,9,10,75,136
394751,BOM,"""call, song""",A,6,am,2017,7,3,79,144
372594,BOM,song,A,7,am,2017,5,20,69,150
199590,BOM,call,B,7,am,2014,7,18,84,152
153879,BOM,call,B,7,am,2013,7,23,72,140
153038,BOM,song,B,7,am,2013,6,26,57,151
137968,BOM,song,C,7,am,2013,6,9,81,129
278827,BOM,call,B,7,am,2015,9,12,72,154
278828,BOM,call,B,7,am,2015,9,12,57,158
315032,BOM,call,C,7,am,2016,4,24,69,147
13791,BOM,song,B,7,am,2007,6,3,75,98
155548,BOM,song,A,7,am,2013,5,19,64,146
43642,BOM,song,E,7,am,2009,6,20,78,154
326730,BOM,call,B,7,am,2016,6,18,61,158
160543,BOM,song,A,7,am,2013,5,21,65,134
153037,BOM,song,B,8,am,2013,6,25,85,156
253399,BOM,song,B,8,am,2015,5,31,77,150
296896,BOM,"""call, song""",C,8,am,2012,5,18,70,130
296892,BOM,call,B,8,am,2012,5,18,65,149
278925,BOM,call,B,8,am,2015,9,12,58,163
59146,BOM,song,A,8,am,2010,5,7,67,161
147289,BOM,call,A,8,am,2013,9,4,74,156
337962,BOM,call,B,8,am,2016,7,1,35,81
313534,BOM,song,B,9,am,2016,4,22,83,139
131789,BOM,song,C,9,am,2013,4,22,66,144
337963,BOM,call,B,9,am,2016,7,1,74,141
337964,BOM,call,C,9,am,2016,7,1,92,134
216402,BOM,call,D,9,am,2013,9,14,71,163
216399,BOM,call,D,9,am,2013,9,14,71,157
100089,BOM,song,A,9,am,2012,4,22,81,164
237361,BOM,song,B,9,am,2015,4,26,68,163
100088,BOM,song,B,9,am,2012,4,22,68,152
100087,BOM,song,B,9,am,2012,4,22,75,149
100086,BOM,song,B,9,am,2012,4,22,71,151
389979,BOM,call,A,9,am,2017,5,27,86,136
296888,BOM,"""call, song""",A,9,am,2012,5,18,71,143
83740,BOM,"""call, song""",D,9,am,2011,3,27,47,58
178244,BOM,"""call, song""",A,10,am,2014,5,14,64,152
328931,BOM,song,B,10,am,2015,6,9,80,146
179960,BOM,call,B,10,am,2014,5,24,73,152
179961,BOM,song,B,10,am,2014,5,24,61,163
179962,BOM,call,B,10,am,2014,5,24,72,154
314099,BOM,song,B,10,am,2016,4,28,74,136
48268,BOM,song,A,10,am,2010,5,2,83,135
101449,BOM,song,B,10,am,2012,5,10,104,131
48651,BOM,song,A,11,am,2010,5,4,67,153
101450,BOM,song,B,11,am,2012,5,10,75,143
313482,BOM,song,A,11,am,2016,4,23,68,144
182689,BOM,call,A,11,am,2014,5,25,69,155
67480,BOM,song,B,11,am,2010,5,23,68,154
296887,BOM,"""call, song""",B,11,am,2011,5,18,77,140
296886,BOM,song,A,11,am,2011,5,18,74,133
314298,BOM,song,A,12,pm,2016,4,30,66,154
176638,BOM,call,D,12,pm,2013,10,12,65,148
296884,BOM,"""call, song""",B,12,pm,2011,5,18,75,130
296885,BOM,call,C,12,pm,2011,5,18,73,141
296883,BOM,song,A,13,pm,2011,5,29,78,156
59127,BOM,song,A,14,pm,2010,5,4,68,160
319716,BOM,song,B,15,pm,2016,5,29,69,155
317040,BOM,song,B,15,pm,2016,5,7,73,142
337314,BOM,song,C,15,pm,2015,5,29,73,158
373488,BOM,song,A,15,pm,2017,6,1,69,154
333314,BOM,song,A,16,pm,2016,6,25,80,137
356871,BOM,song,C,16,pm,2015,6,25,72,165
100143,BOM,song,C,16,pm,2012,4,30,77,133
292085,BOM,song,A,17,pm,2008,5,18,58,165
381413,BOM,song,A,17,pm,2017,6,1,78,156
381414,BOM,song,A,17,pm,2017,6,1,78,136
318349,BOM,song,A,17,pm,2016,5,24,144,43
318350,BOM,song,A,17,pm,2016,5,24,67,144
388171,BOM,call,B,17,pm,2017,5,20,72,142
388172,BOM,song,A,17,pm,2017,5,20,69,154
160803,BOM,song,B,17,pm,2013,6,21,67,156
180230,BOM,song,A,18,pm,2014,5,28,85,145
254449,BOM,"""call, song""",B,18,pm,2015,6,28,67,153
246110,BOM,song,B,18,pm,2015,5,26,74,165
180228,BOM,song,C,18,pm,2014,5,28,72,138
132418,BOM,song,E,18,pm,2013,5,3,88,142
246111,BOM,song,D,18,pm,2015,5,26,64,131
246112,BOM,song,A,18,pm,2015,5,26,77,135
95114,BOM,call,B,19,pm,2011,8,8,79,147
185812,BOM,song,A,20,pm,2014,6,6,57,154
185819,BOM,"""call, song""",B,20,pm,2014,6,6,89,158
185814,BOM,song,A,20,pm,2014,6,6,58,86
185815,BOM,song,A,20,pm,2014,6,6,70,160
185821,BOM,song,B,20,pm,2014,6,6,70,155
185817,BOM,song,B,21,pm,2014,6,6,82,148
319008,BRO,song,B,2,am,2016,5,28,151,158
14954,BRO,call,A,4,am,2007,6,14,55,53
172982,BRO,song,D,4,am,2013,6,17,57,87
369858,BRO,song,D,4,am,2016,6,25,75,85
138081,BRO,call,C,5,am,2013,6,11,51,76
101243,BRO,song,B,5,am,2012,5,16,36,141
319446,BRO,song,B,5,am,2016,5,30,33,152
160321,BRO,call,B,5,am,2013,5,5,45,65
196875,BRO,song,B,6,am,2014,8,25,51,74
389985,BRO,call,B,6,am,2017,5,27,64,75
389986,BRO,call,B,6,am,2017,5,27,70,81
371463,BRO,"""call, song""",A,6,am,2017,5,14,61,75
196882,BRO,call,B,6,am,2014,8,25,79,132
140782,BRO,call,A,6,am,2013,6,27,55,78
379258,BRO,call,B,6,am,2017,7,10,149,160
184319,BRO,call,A,7,am,2014,6,28,61,76
82759,BRO,call,B,7,am,2011,7,3,55,74
317055,BRO,"""call, song""",A,7,am,2016,5,16,63,91
13689,BRO,song,A,7,am,2007,6,4,61,156
164751,BRO,song,B,7,am,2012,5,11,56,78
140783,BRO,call,B,7,am,2013,6,27,50,79
262816,BRO,call,A,8,am,2015,7,18,40,132
182068,BRO,"""call, song""",A,8,am,2014,5,22,54,76
139568,BRO,call,A,8,am,2013,6,23,92,133
395415,BRO,call,B,8,am,2017,6,4,45,49
357148,BRO,call,B,8,am,2017,2,25,39,63
192537,BRO,call,A,8,am,2014,6,14,42,86
102207,BRO,call,B,8,am,2012,5,27,56,73
80335,BRO,song,A,8,am,2011,6,7,56,83
158560,BRO,call,B,8,am,2013,4,11,66,81
43644,BRO,call,B,8,am,2009,6,20,44,81
141537,BRO,song,C,8,am,2013,6,27,42,87
387362,BRO,call,A,8,am,2013,7,28,53,87
192536,BRO,call,A,8,am,2014,6,14,56,145
253853,BRO,"""call, song""",B,8,am,2015,3,20,60,78
253850,BRO,"""call, song""",B,8,am,2015,3,20,48,80
253869,BRO,"""call, song""",B,8,am,2015,3,20,69,83
253864,BRO,"""call, song""",B,8,am,2015,3,20,133,37
288571,BRO,call,C,8,am,1998,3,7,49,64
385856,BRO,call,B,9,am,2015,7,19,56,84
179051,BRO,?,B,9,am,2014,5,9,70,143
141872,BRO,call,C,9,am,2012,8,25,65,92
160341,BRO,call,C,9,am,2013,5,5,56,74
253355,BRO,call,B,9,am,2015,6,6,79,130
253903,BRO,call,C,9,am,2015,6,6,125,107
96700,BRO,call,D,9,am,2009,9,16,75,86
33567,BRO,call,A,10,am,2009,4,27,135,45
33566,BRO,"""call, song""",A,10,am,2009,4,27,60,76
33565,BRO,song,A,10,am,2009,4,27,59,75
33564,BRO,"""call, song""",A,10,am,2009,4,27,87,132
33563,BRO,"""call, song""",A,10,am,2009,4,27,59,84
14955,BRO,call,A,10,am,2007,6,22,67,82
255840,BRO,call,B,10,am,2015,7,5,70,157
183604,BRO,song,C,10,am,2014,6,21,58,77
135669,BRO,"""call, song""",A,10,am,2013,5,26,61,75
135668,BRO,"""call, song""",B,10,am,2013,5,26,60,74
135667,BRO,song,B,10,am,2013,5,26,63,88
103814,BRO,"""call, song""",B,10,am,2012,6,13,58,75
54331,BRO,"""call, song""",B,11,am,2008,7,12,64,82
164748,BRO,song,B,11,am,2012,5,10,10,147
379541,BRO,song,no score,11,am,2017,7,1,55,74
164736,BRO,song,C,11,am,2013,5,9,58,79
159336,BRO,call,B,11,am,2012,8,24,60,77
159277,BRO,call,B,11,am,2012,8,19,58,77
372595,BRO,song,B,12,pm,2017,5,26,143,54
164744,BRO,call,B,12,pm,2012,5,12,129,108
164739,BRO,call,B,12,pm,2012,5,12,57,74
164742,BRO,call,C,12,pm,2012,5,12,60,75
176376,BRO,call,B,14,pm,2014,4,27,53,69
182957,BRO,song,D,14,pm,2014,6,21,59,78
94147,BRO,song,B,15,pm,2011,7,9,45,76
379335,BRO,song,no score,15,pm,2017,7,1,55,80
86466,BRO,"""call, song""",B,15,pm,2011,7,9,59,76
373461,BRO,call,B,16,pm,2017,4,14,46,75
317045,BRO,call,A,16,pm,2016,5,15,60,78
320111,BRO,call,B,16,pm,2016,5,29,55,79
330559,BRO,call,C,17,pm,2016,8,7,63,76
278199,BRO,?,B,17,pm,2015,6,10,38,85
278201,BRO,?,A,17,pm,2015,6,10,66,90
278203,BRO,?,A,17,pm,2015,6,10,69,90
142861,BRO,song,B,18,pm,2013,6,16,75,145
228616,BRO,call,B,19,pm,1999,4,25,58,76
320501,BRO,call,C,19,pm,2016,6,7,61,91
108734,BRO,call,B,19,pm,2012,8,28,45,74
194599,BRO,call,B,20,pm,2014,7,30,33,140
194583,BRO,call,B,20,pm,2014,7,30,43,73
55153,CAN,?,C,2,am,2010,4,2,21,132
325435,CAN,call,B,4,am,2016,5,14,38,136
181303,CAN,call,C,4,am,2014,5,31,21,137
388694,CAN,call,A,6,am,2016,5,1,32,125
388693,CAN,call,A,6,am,2016,5,1,31,138
202087,CAN,?,B,6,am,2014,11,10,40,134
72511,CAN, call,C,6,am,2011,2,27,39,126
138068,CAN,call,B,6,am,2013,3,16,100,130
125207,CAN,call,B,6,am,2013,3,16,28,135
243586,CAN,call,A,6,am,2015,3,16,30,132
217766,CAN,call,A,6,am,2015,3,15,38,142
31012,CAN,song,A,6,am,2008,4,10,37,60
311816,CAN,call,D,6,am,2016,3,25,40,129
31011,CAN,?,D,6,am,2008,4,10,30,129
31010,CAN,song,D,6,am,2008,4,10,32,136
166584,CAN,call,A,6,am,2014,2,8,34,135
272302,CAN,call,B,6,am,2015,2,10,83,145
216516,CAN,call,B,6,am,2014,2,2,41,137
216509,CAN,call,B,6,am,2014,2,2,32,136
243587,CAN,call,A,7,am,2015,3,13,85,133
237821,CAN,song,C,10,am,2015,4,28,24,124
301714,CAN,call,B,18,pm,2016,1,29,32,134
301715,CAN,call,C,18,pm,2016,1,29,22,136
306856,CAN,call,B,18,pm,2016,3,12,33,135
358026,CAN,call,B,18,pm,2017,3,5,30,146
217781,CAN,call,D,18,pm,2015,2,8,43,124
358027,CAN,call,A,18,pm,2017,3,5,76,151
217792,CAN,call,C,18,pm,2015,2,8,31,134
217801,CAN,call,C,18,pm,2015,2,8,64,157
360916,CAN,call,A,18,pm,2017,3,22,52,168
217815,CAN,call,A,18,pm,2015,2,8,32,136
358052,CAN,call,B,18,pm,2017,3,5,26,141
217817,CAN,call,B,18,pm,2015,2,8,30,128
217829,CAN,call,B,18,pm,2015,2,8,59,77
31861,CAN,?,C,18,pm,2009,3,7,38,144
217832,CAN,call,B,18,pm,2015,2,8,30,144
217831,CAN,call,C,18,pm,2015,2,8,36,134
167153,CAN,song,B,18,pm,2014,2,7,30,139
362651,CAN,call,A,19,pm,2017,4,2,37,129
318915,CAN,call,B,19,pm,2015,3,28,33,137
45508,CAN,call,B,19,pm,2010,3,16,33,134
45509,CAN,song,C,19,pm,2010,3,16,137,43
325432,CAN,call,A,19,pm,2016,5,13,142,99
312946,CAN,call,B,19,pm,2016,4,18,36,135
312954,CAN,call,D,19,pm,2016,4,18,71,145
75443,CAN,song,D,19,pm,2010,3,24,32,137
138054,CAN,?,B,19,pm,2013,3,11,36,140
129225,CAN,call,C,19,pm,2013,4,8,36,139
218671,CAN,call,A,20,pm,2015,3,20,25,146
96745,CAN,song,A,20,pm,2012,3,13,124,122
96744,CAN,song,A,20,pm,2012,3,13,44,158
96743,CAN,song,A,20,pm,2012,3,13,35,149
96741,CAN,song,A,20,pm,2012,3,13,58,157
370196,CAN,call,B,20,pm,2017,5,12,13,127
236020,CAN,call,C,20,pm,2015,4,14,32,135
404839,CAN,call,E,20,pm,2017,6,5,50,134
363105,CAN,song,A,20,pm,2017,4,5,32,148
171997,CAN,"""call, song""",B,20,pm,2014,3,26,138,109
171994,CAN,"""call, song""",B,20,pm,2014,3,26,36,124
171991,CAN,"""call, song""",B,20,pm,2014,3,26,38,135
93791,CAN,call,B,20,pm,2012,1,29,72,131
93789,CAN,call,B,20,pm,2012,1,29,53,94
93790,CAN,call,C,20,pm,2012,1,29,34,137
308295,CAN,"""call, song""",B,20,pm,2016,3,23,126,112
305888,CAN,call,A,20,pm,2011,5,25,41,125
133048,CAN,call,B,20,pm,2012,4,6,34,138
313736,CAN,song,A,20,pm,2016,4,22,35,136
309337,CAN,call,A,20,pm,2016,3,28,28,144
237375,CAN,song,A,20,pm,2015,4,25,76,159
77262,CAN,song,A,20,pm,2011,2,17,39,141
313737,CAN,song,B,20,pm,2016,4,22,63,147
134501,CAN,call,B,20,pm,2013,5,17,23,144
99969,CAN,call,B,20,pm,2012,4,27,26,149
15171,CAN,call,B,20,pm,2007,5,23,35,137
15173,CAN,call,B,20,pm,2007,5,23,38,139
51754,CAN,song,A,21,pm,2009,3,14,28,114
305896,CAN,call,C,21,pm,2011,5,25,75,140
306348,CAN,call,B,21,pm,2011,5,28,43,162
133923,CAN,call,B,21,pm,2013,5,16,32,138
78342,CAN,call,A,21,pm,2011,5,15,31,137
96742,CAN,song,D,20,pm,2012,3,13,24,135
51755,CAN,song,C,21,pm,2009,3,14,73,156
27256,CAR,call,B,6,am,2008,12,20,148,65
27259,CAR,call,C,6,am,2008,12,20,132,52
27254,CAR,call,C,6,am,2008,12,20,146,52
344102,CAR,call,A,7,am,2010,1,8,155,37
392005,CAR,call,A,7,am,2017,11,5,136,36
209947,CAR,call,B,7,am,2013,12,21,143,44
205464,CAR,call,D,7,am,2014,10,23,147,36
209669,CAR,call,A,7,am,2013,11,16,135,70
162716,CAR,call,A,7,am,2013,6,9,77,129
335836,CAR,call,A,8,am,1988,9,10,121,44
256980,CAR,call,A,8,am,2014,10,8,145,39
295504,CAR,call,B,8,am,2015,12,16,149,48
149180,CAR,call,C,8,am,2013,9,28,138,48
147774,CAR,call,C,8,am,2013,9,18,48,66
336144,CAR,call,D,8,am,2016,9,23,139,42
199143,CAR,call,E,8,am,2014,9,25,135,43
267497,CAR,call,A,9,am,2015,4,7,138,48
303832,CAR,call,B,9,am,2015,12,25,139,45
267498,CAR,call,B,9,am,2015,4,7,85,152
91295,CAR,call,B,9,am,2011,12,9,142,40
91294,CAR,call,B,9,am,2011,12,9,71,67
91293,CAR,call,B,9,am,2011,12,9,29,103
284667,CAR,call,C,9,am,2015,10,11,137,44
267499,CAR,call,C,9,am,2015,5,11,128,50
111932,CAR,call,C,9,am,2012,10,22,67,140
88610,CAR,call,D,9,am,2011,10,14,141,56
197379,CAR,call,A,9,am,2014,4,17,42,34
197378,CAR,song,A,9,am,2014,4,17,119,58
386671,CAR,call,D,9,am,2017,9,18,123,27
24785,CAR,call,B,9,am,2008,11,29,73,158
345088,CAR,call,B,9,am,2016,12,4,143,49
405185,CAR,song,C,9,am,2016,6,6,141,41
389842,CAR,call,D,9,am,2017,10,15,128,47
334375,CAR,call,A,9,am,2016,9,11,116,23
390051,CAR,call,B,10,am,2017,10,15,149,49
367477,CAR,"""call, song""",B,10,am,2017,5,2,142,47
338522,CAR,call,B,10,am,2016,10,15,136,32
113402,CAR,call,B,10,am,2012,7,1,146,26
61960,CAR,call,B,10,am,2010,8,6,140,43
61959,CAR,call,B,10,am,2010,8,6,128,115
338163,CAR,call,C,10,am,2016,10,15,147,52
199204,CAR,call,C,10,am,2014,10,17,137,46
65137,CAR,call,C,10,am,2010,11,7,140,43
113403,CAR,song,B,10,am,2012,7,1,86,132
91419,CAR,call,B,10,am,2011,12,13,140,38
149851,CAR,call,A,10,am,2013,5,13,140,43
338521,CAR,call,B,10,am,2016,10,15,91,125
321515,CAR,call,C,10,am,2014,10,11,140,42
337676,CAR,call,B,10,am,2016,10,1,82,157
340347,CAR,call,A,10,am,2016,10,22,136,36
306883,CAR,call,A,10,am,2015,10,19,134,39
152409,CAR,call,C,10,am,2013,10,21,152,36
114327,CAR,call,C,10,am,2012,12,9,139,43
397439,CAR,call,no score,11,am,2017,11,4,137,158
395909,CAR,call,A,11,am,2017,12,12,139,49
380344,CAR,call,B,11,am,2017,5,12,91,140
380150,CAR,song,B,11,am,2017,5,12,28,137
367479,CAR,"""call, song""",B,11,am,2017,5,2,158,13
344100,CAR,call,B,11,am,2015,12,2,137,29
329257,CAR,call,B,11,am,2016,6,19,147,38
142690,CAR,call,C,11,am,2005,10,9,136,46
97418,CAR,call,A,11,am,2012,1,8,56,123
158454,CAR,call,C,11,am,2013,12,5,148,155
166440,CAR,call,D,11,am,2005,10,9,32,137
198897,CAR,call,B,12,pm,2013,11,2,131,59
175348,CAR,call,B,12,pm,2014,4,19,49,62
386506,CAR,call,E,12,pm,2017,9,16,144,131
392818,CAR,call,B,12,pm,2014,12,14,67,166
397437,CAR,call,no score,13,pm,2017,10,31,138,46
397429,CAR,call,no score,13,pm,2017,11,2,138,46
338753,CAR,call,C,13,pm,2016,10,14,140,41
338754,CAR,call,D,13,pm,2016,10,14,119,53
395981,CAR,call,C,14,pm,2017,12,12,129,48
356568,CAR,call,A,15,pm,2017,2,23,145,51
180593,CAR,call,E,15,pm,2013,10,13,141,41
91296,CAR,call,C,15,pm,2011,12,4,157,152
91298,CAR,call,B,15,pm,2011,12,4,147,59
91297,CAR,call,C,15,pm,2011,12,4,45,64
91303,CAR,call,B,15,pm,2011,12,4,135,44
91299,CAR,call,B,15,pm,2011,12,3,140,62
91300,CAR,call,B,15,pm,2011,12,3,121,44
91301,CAR,call,C,15,pm,2011,12,3,142,54
391081,CAR,call,C,15,pm,2017,10,28,107,106
391080,CAR,call,C,15,pm,2017,10,28,138,44
358132,CAR,call,C,15,pm,2017,2,1,141,43
358383,CAR,call,B,16,pm,2016,6,2,136,38
